,text,sentiment
0,"Boris Johnson cabinet have all broken the law, misled parliament and lied to parliament and to the British public. We cannot have a government that thinks they are above the law while they lecture everyone else",-1
1,@joanna_starz07 @REWearmouth @Ofcom I hate Boris Johnson 😡😡,-1
2,"@RacingTV @salisburyraces @johnsonhoughton @bishopcharlie12 A winner for boris Johnson and 
the Tory party",1
3,UK Prime Minister Boris Johnson won the confidence vote and will remain as prime minister and continue its personal war against Russia.,0
4,"@ABridgen If you lot had any honour, Alexander Boris de Pfeffel Johnson would be long gone 
and his memory a blot on the political landscape instead of the scorched wasteland that it is.",-1
5,Boris Johnson has said he will resign as soon as Kompany is confirmed as New Burnley manager @reluctantnicko @BradJonesJourno,0
6,@TonyGil57151661 @alterbridge1960 @TheMendozaWoman Boris Johnson says thank you.,0
7,@Scrats_Nuts Her chum Nigel Nelson pol Ed of Sunday Mirror has admitted twice in @GBNEWS that the press have “influence but not power” and they have wanted Boris out since he won the leadership. His words “we don’t want him there” “we(media) want Johnson out”,1
8,Boris Johnson might have won the no confidence vote but has lost the public interest the Conservative party will never win again because no one will vote for criminals,-1
9,"@charlotterlynch @susannareid100 @PamelaTickell @LBC As part of the 2016 Brexit referendum 
leave campaign, Boris Johnson alongside Michael Gove and former Labour MP Gisela Stuart insisted leaving the EU would allow Britain to cut the VAT tax. Like so many of Johnson’s promises we’re still waiting…",-1
10,"@shoshanade @whatchidid Inner bowl = Boris Johnson\nOuter Bowl = Tory Party\n\nYour advice 
on how to separate Boris from the Tory party is still valid...",-1
11,"No matter what happens before the next general election , The Tories have lost my vote . I 
can no longer give my vote the the liar Boris Johnson",-1
12,"@Williams20T @DanielTidmas @NBawbag1 @Harrison1Ron @EmmaKennedy No, it really isn’t. You may have voted Conservative *because* of Boris Johnson, but your vote only went to the Conservative candidate in your constituency.  You can see that, surely?', 
'nombre_likes': 0, 'nombre_retweets': 0}
{'id': 1534172214366547973, 'date': '2022-06-07 13:55:34', 'text': ""@BethRigby Some in tory party have become so obsessed with Boris Johnson factor being such 
a major plus for them, that they're blinding themselves to possibility of another leader being capable of winning them next General Election instead, when he's clearly now a vote loser."", 'nombre_likes': 0, 'nombre_retweets': 0}
{'id': 1534172159177904128, 'date': '2022-06-07 13:55:20',",-1
13,"Voxing people in Leigh, in Wigan, about Boris Johnson:\n\n""We\'ve all done something wrong... let him have a party""\n\nYup.",1
14,"in what kind of world does someone like Boris Johnson have the ""confidence"" of anything other than a long-suffering dog",-1
15,"@mooreholmes24 Yes, they are separate issues. Boris Johnson cares profoundly about the former and could not give a rattling f*ck about the latter",0
16,We should draw a line under Boris Johnson with an arrow leading to the door.,-1
17,@jecrda Boris Johnson has only ever been good for Boris Johnson. The Ukraine crisis is a diversion from Brexit and the  consequential failure of the economy and cost of living.,-1
18,@SeffSaid Sounds like a quote Boris Johnson or some other arse hole would use. Be cool. Xx,-1
19,"@tr1x_e @alanlyons33 @KEdge23 unlawful is not breaking the law, try harder!\n\nThe parties 
around the time of DoE funeral were all civil servants, Boris Johnson was in Chequers following advice from doctors after being hospitalised with covid....",1
20,@Loriagne2 Does it contain Columbian powders for a certain Alexander Boris Johnson?!,-1
21,Boris Johnson has drown more lines then an architect lately.,-1
22,@Tyll_Nele @yrotitna @GoldsmithsUoL @GoldsmithsUCU Absolutely essential imho. When it comes to lack of integrity both FC &amp; AC could give Boris Johnson a run for his money.,0
23,@CameronMcNeish The two politicians who can’t afford a referendum are Boris Johnson and Nicola Sturgeon.,-1
24,The gaslighting from Boris Johnson is just disgusting.,-1
25,@epistemophagy wtf based Boris Johnson?,-1
26,#FT \nTories descend into acrimony as Boris Johnson fights for his political life.\n\nConfidence vote in prime minister unleashes Tory party infighting.\n\nWeakened Boris Johnson scrapes through after damaging confidence vote.\n\nLoyalists rally to PM but Tory party split by rancour.,-1
